                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2131,                 3.2349,                 1.3852,                0.00333,                      1,                0.09962,                0.04666,                0.74999,                 3.0263,                 1.2294,               0.067284,             3.2716e-07,             3.2716e-07
                      1,                 1.1517,                 3.1718,                 1.3488,                0.00333,                      1,                0.13096,                0.06053,                0.79147,                 3.0316,                 1.2589,               0.033951,             5.9444e-07,             5.9444e-07
                      2,                 1.1626,                 3.1796,                 1.3438,                0.19882,                   0.12,                0.13565,                 0.0654,                0.84157,                 3.0507,                 1.2935,             0.00061808,             7.9506e-07,             7.9506e-07
                      3,                 1.1668,                 3.1374,                 1.3409,                0.30734,                   0.08,                0.12992,                0.05893,                0.85297,                 3.0678,                  1.299,                  7e-07,                  7e-07,                  7e-07
                      4,                 1.2155,                 3.1678,                 1.3911,                0.40032,                   0.04,                0.12799,                0.06383,                0.84967,                 3.0661,                 1.3028,                  7e-07,                  7e-07,                  7e-07
                      5,                 1.1422,                 3.1145,                 1.3276,                0.28247,                  0.037,                0.13179,                0.06037,                0.86079,                 3.0697,                  1.312,                  6e-07,                  6e-07,                  6e-07
                      6,                 1.1625,                 3.1328,                 1.3445,                0.24264,                   0.04,                0.12601,                0.05639,                0.86288,                 3.0747,                 1.3163,                  5e-07,                  5e-07,                  5e-07
                      7,                 1.1832,                 3.1453,                 1.3662,                0.29856,                0.05333,                0.13571,                 0.0626,                0.85985,                 3.0742,                 1.3076,                  4e-07,                  4e-07,                  4e-07
                      8,                 1.1497,                 3.1573,                 1.3503,                0.31183,                   0.08,                0.13274,                0.05668,                0.85712,                 3.0712,                   1.31,                  3e-07,                  3e-07,                  3e-07
                      9,                 1.1636,                 3.1393,                 1.3557,                0.23227,                0.04036,                0.12793,                0.06068,                 0.8487,                 3.0725,                  1.295,                  2e-07,                  2e-07,                  2e-07
